match_id,date,league,season,home_team,away_team,home_goals,away_goals,status
1458152,2026-03-19T11:00:00+00:00,Tercera División RFEF - Group 1,2025,Atlético Arteixo,Coruña,,,NS
1458156,2026-03-19T11:00:00+00:00,Tercera División RFEF - Group 1,2025,Celta de Vigo III,Cambados,,,NS
1458158,2026-03-19T11:00:00+00:00,Tercera División RFEF - Group 1,2025,Villalbés,Estradense,,,NS
1466940,2026-03-19T11:00:00+00:00,Birinci Dasta,2025,Difai Ağsu,Cəbrayıl,,,NS
1466941,2026-03-19T11:00:00+00:00,Birinci Dasta,2025,Şimal,Zaqatala,,,NS
1507290,2026-03-19T11:00:00+00:00,Liga 3,2026,Didube 2014,Gardabani,,,NS
1507294,2026-03-19T11:00:00+00:00,Liga 3,2026,Merani Tbilisi,Betlemi,,,NS
1507295,2026-03-19T11:00:00+00:00,Liga 3,2026,Irao,Margveti 2006,,,NS
1514926,2026-03-19T11:00:00+00:00,Super Liga,2025,Floreşti,Sireți,,,NS
1515996,2026-03-19T11:00:00+00:00,Super League,2026,Andijan,Mash'al,,,NS
1458154,2026-03-19T11:30:00+00:00,Tercera División RFEF - Group 1,2025,Silva,Celtiga,,,NS
1458155,2026-03-19T11:30:00+00:00,Tercera División RFEF - Group 1,2025,Noia,Somozas,,,NS
1525659,2026-03-19T11:30:00+00:00,First League,2025,Hayq,Banants II,,,NS
1525660,2026-03-19T11:30:00+00:00,First League,2025,Pyunik II,Lernayin Artsakh,,,NS
1534893,2026-03-19T12:00:00+00:00,Premier League,2025,Jaish,Al Ittihad,,,NS
1394673,2026-03-19T13:00:00+00:00,Süper Lig,2025,Kayserispor,Fatih Karagümrük,,,NS
1416135,2026-03-19T13:00:00+00:00,Super League,2025,Green Buffaloes,Konkola Blades,,,NS
1416136,2026-03-19T13:00:00+00:00,Super League,2025,NAPSA Stars,Man Utd Zambia Academy,,,NS
1416137,2026-03-19T13:00:00+00:00,Super League,2025,Mutondo Stars,Zanaco,,,NS
1416138,2026-03-19T13:00:00+00:00,Super League,2025,Nchanga Rangers,ZESCO United,,,NS
1416139,2026-03-19T13:00:00+00:00,Super League,2025,Power Dynamos,Prison Leopards,,,NS
1416140,2026-03-19T13:00:00+00:00,Super League,2025,Green Eagles,Kabwe Warriors,,,NS
1416141,2026-03-19T13:00:00+00:00,Super League,2025,Mufulira Wanderers,Nkana,,,NS
1416142,2026-03-19T13:00:00+00:00,Super League,2025,Red Arrows,Nkwazi,,,NS
1457722,2026-03-19T13:00:00+00:00,Ligi kuu Bara,2025,Mashujaa,Azam,,,NS
1477198,2026-03-19T13:00:00+00:00,Ligi kuu Bara,2025,Pamba Jiji,Simba,,,NS
1495165,2026-03-19T13:00:00+00:00,Premier Soccer League,2026,Bulawayo Chiefs,Dynamos,,,NS
1495167,2026-03-19T13:00:00+00:00,Premier Soccer League,2026,Herentals,Agama,,,NS
1495170,2026-03-19T13:00:00+00:00,Premier Soccer League,2026,Manica Diamonds,Scotland Mabvuku,,,NS
1500331,2026-03-19T13:00:00+00:00,Ligue A,2025,Ngozi City,Green Farmers FC,,,NS
1500332,2026-03-19T13:00:00+00:00,Ligue A,2025,Inter Star,Rukinzo,,,NS
1527462,2026-03-19T13:00:00+00:00,I-League,2025,Sreenidi Deccan,Namdhari,,,NS
1515210,2026-03-19T13:15:00+00:00,Nasjonal U19 Champions League,2026,Lyn U19,Bodø / Glimt U19,,,NS
1515997,2026-03-19T13:15:00+00:00,Super League,2026,Buxoro,Dinamo Samarqand,,,NS
1534564,2026-03-19T13:30:00+00:00,Youth Viareggio Cup,2026,Fiorentina U19,Pistoiese U18,,,NS
1534565,2026-03-19T13:30:00+00:00,Youth Viareggio Cup,2026,Sassuolo U18,AS Police Viareggio Team,,,NS
1534566,2026-03-19T13:30:00+00:00,Youth Viareggio Cup,2026,Serie D Viareggio Team,HNK Rijeka U18,,,NS
1534567,2026-03-19T13:30:00+00:00,Youth Viareggio Cup,2026,Spezia U18,One Touch U18,,,NS
1507291,2026-03-19T14:00:00+00:00,Liga 3,2026,Dinamo Tbilisi II,Iveria Khashuri,,,NS
1521308,2026-03-19T14:00:00+00:00,Indian Super League,2025,SC Delhi,Jamshedpur,,,NS
1512839,2026-03-19T14:30:00+00:00,Elite One,2026,Aigle Royal de Moungo,Jeunes Fauves,,,NS
1512845,2026-03-19T14:30:00+00:00,Elite One,2026,Victoria United,Panthère,,,NS
1459141,2026-03-19T14:45:00+00:00,Tercera División RFEF - Group 4,2025,Zarautz,Pasaia KE,,,NS
1446765,2026-03-19T15:00:00+00:00,NPFL,2026,Niger Tornadoes,Rivers United,,,NS
1458160,2026-03-19T15:00:00+00:00,Tercera División RFEF - Group 1,2025,Polvorín,Boiro,,,NS
1507292,2026-03-19T15:00:00+00:00,Liga 3,2026,Gonio,Lokomotivi Tbilisi,,,NS
1507296,2026-03-19T15:00:00+00:00,Liga 3,2026,Varketili,Iberia 2010,,,NS
1445913,2026-03-19T15:15:00+00:00,Premyer Liqa,2025,Sabah FA,Sumqayıt,,,NS
1530178,2026-03-19T15:30:00+00:00,Cup,2025,Krylia Sovetov,Lokomotiv,,,NS
1391581,2026-03-19T16:00:00+00:00,Premier League,2025,Metalist 1925 Kharkiv,SK Poltava,,,NS
1442357,2026-03-19T16:00:00+00:00,2. Frauen Bundesliga,2025,Turbine Potsdam W,SC Sand W,,,NS
1451598,2026-03-19T16:00:00+00:00,First League,2025,Spartak Varna,Ludogorets,,,NS
1458157,2026-03-19T16:00:00+00:00,Tercera División RFEF - Group 1,2025,Alondras,Barco,,,NS
