match_id,date,league,season,home_team,away_team,status,hkjc_frontend_id,hkjc_tournament_code,hkjc_tournament_name_ch,hkjc_home_team_ch,hkjc_away_team_ch,hkjc_live_event_code,data_source,home_close_odds,draw_close_odds,away_close_odds,hkjc_had_updated_at,home_open_odds,draw_open_odds,away_open_odds,hkjc_ttg_updated_at,hkjc_ttg_0_odds,hkjc_ttg_1_odds,hkjc_ttg_2_odds,hkjc_ttg_3_odds,hkjc_ttg_4_odds,hkjc_ttg_5_odds,hkjc_ttg_6_odds,hkjc_ttg_7plus_odds,hkjc_hdc_home_close_odds,hkjc_hdc_away_close_odds,hkjc_hdc_condition,asian_handicap,hkjc_hdc_updated_at,home_team_raw,away_team_raw
50064407,2026-03-20T04:00:00.000+08:00,UE Conference,2026,Vallecano,Samsunspor,PREEVENT,FB5827,UEF,歐洲協會聯賽,華歷簡奴,薩姆松,BETRADAR,hkjc,1.42,3.9,5.8,2026-03-17T19:30:01.278+08:00,1.42,3.9,5.8,2026-03-17T19:30:01.278+08:00,9.5,4.2,3.35,3.65,5.3,9.5,19.0,30.0,,,,,,,
50064409,2026-03-20T04:00:00.000+08:00,UE Cup,2026,Aston Villa,Lille,PREEVENT,FB5829,UEC,歐霸盃,阿士東維拉,里爾,BETRADAR,hkjc,1.52,3.75,4.8,2026-03-17T19:30:01.278+08:00,1.52,3.75,4.8,2026-03-17T19:30:01.278+08:00,10.5,4.7,3.5,3.65,4.95,8.0,17.0,22.0,1.8,2.03,-0.5/-1.0,-0.75,2026-03-17T19:30:01.278+08:00,,
50064406,2026-03-20T04:00:00.000+08:00,UE Cup,2026,Real Betis,Panathinaikos,PREEVENT,FB5826,UEC,歐霸盃,貝迪斯,彭拿典奈高斯,BETRADAR,hkjc,1.27,4.5,8.0,2026-03-17T19:30:01.278+08:00,1.27,4.5,8.0,2026-03-17T19:30:01.278+08:00,11.0,4.65,3.5,3.65,4.95,8.0,17.0,22.0,1.85,1.97,-1.0/-1.5,-1.25,2026-03-17T19:30:01.278+08:00,Betis,
50064404,2026-03-20T04:00:00.000+08:00,UE Conference,2026,Sparta Praha,AZ Alkmaar,PREEVENT,FB5824,UEF,歐洲協會聯賽,布拉格斯巴達,阿爾克馬爾,BETRADAR,hkjc,1.94,3.6,2.95,2026-03-17T19:30:01.278+08:00,1.94,3.6,2.95,2026-03-17T19:30:01.278+08:00,14.0,5.4,3.8,3.65,4.5,6.9,12.5,18.0,,,,,,Sparta Prague,
50064443,2026-03-20T04:00:00.000+08:00,UE Conference,2026,Shakhtar Donetsk,Lech Poznan,PREEVENT,FB5831,UEF,歐洲協會聯賽,薩克達,列治普斯納,BETRADAR,hkjc,1.87,3.5,3.2,2026-03-17T19:30:01.278+08:00,1.87,3.5,3.2,2026-03-17T19:30:01.278+08:00,11.5,4.85,3.5,3.7,4.85,7.5,15.0,24.0,,,,,,,
50064405,2026-03-20T04:00:00.000+08:00,UE Conference,2026,Strasbourg,Rijeka,PREEVENT,FB5825,UEF,歐洲協會聯賽,斯特拉斯堡,列積卡,BETRADAR,hkjc,1.24,4.75,8.5,2026-03-17T19:30:01.278+08:00,1.24,4.75,8.5,2026-03-17T19:30:01.278+08:00,12.5,5.0,3.55,3.65,4.8,7.0,15.0,23.0,,,,,,,
50060958,2026-03-20T06:00:00.000+08:00,Brazilian Division 1,2026,Gremio,Vitoria,PREEVENT,FB5816,BD1,巴西甲組聯賽,甘美奧,維多利亞,BETRADAR,hkjc,1.64,3.4,4.35,2026-03-17T19:30:01.278+08:00,1.64,3.4,4.35,2026-03-17T19:30:01.278+08:00,8.75,4.2,3.3,3.75,5.4,9.5,20.0,30.0,2.01,1.8,-0.5/-1.0,-0.75,2026-03-17T19:30:01.278+08:00,,
50064880,2026-03-20T07:00:00.000+08:00,CONCACAF Champions Cup,2026,Mount Pleasant,LA Galaxy,PREEVENT,FB5840,CNC,中北美洲冠軍盃,芒特普林森,洛杉磯銀河,BETRADAR,hkjc,6.4,4.95,1.29,2026-03-17T19:30:01.278+08:00,6.4,4.95,1.29,2026-03-17T19:30:01.278+08:00,23.0,7.0,4.2,3.7,4.2,5.9,9.75,11.0,1.97,1.8,+1.0/+1.5,1.25,2026-03-17T19:30:01.278+08:00,,
50061000,2026-03-20T07:00:00.000+08:00,Brazilian Division 1,2026,Flamengo,Clube do Remo,PREEVENT,FB5747,BD1,巴西甲組聯賽,法林明高,雷莫,BETRADAR,hkjc,1.08,7.0,17.0,2026-03-16T19:30:02.789+08:00,1.08,7.0,17.0,2026-03-16T19:30:02.789+08:00,22.0,6.4,4.1,3.7,4.25,5.9,10.5,12.5,2.02,1.79,-2.0/-2.5,-2.25,2026-03-16T19:30:02.789+08:00,,
50061011,2026-03-20T08:30:00.000+08:00,Brazilian Division 1,2026,Chapecoense,Corinthians,PREEVENT,FB5817,BD1,巴西甲組聯賽,查比高恩斯,哥連泰斯,BETRADAR,hkjc,3.2,3.05,2.03,2026-03-17T19:30:01.278+08:00,3.2,3.05,2.03,2026-03-17T19:30:01.278+08:00,7.25,3.9,3.15,3.9,5.9,11.0,26.0,35.0,1.93,1.87,0.0/+0.5,0.25,2026-03-17T19:30:01.278+08:00,,
