match_id,date,league,season,home_team,away_team,status,sporttery_match_num,sporttery_league_id,sporttery_match_week,sporttery_business_date,data_source,home_close_odds,draw_close_odds,away_close_odds,sporttery_had_updated_at,home_open_odds,draw_open_odds,away_open_odds,odds_move_count,sporttery_hhad_home_close_odds,sporttery_hhad_draw_close_odds,sporttery_hhad_away_close_odds,sporttery_hhad_updated_at,asian_handicap,sporttery_hhad_goal_line,sporttery_hhad_home_open_odds,sporttery_hhad_draw_open_odds,sporttery_hhad_away_open_odds,sporttery_hhad_move_count,home_team_raw,away_team_raw,home_goals,away_goals,home_rank,away_rank,home_points_per_game,away_points_per_game,home_xg,away_xg,home_shots,away_shots,result_label,result_code,hkjc_frontend_id,hkjc_tournament_code,hkjc_tournament_name_ch,hkjc_home_team_ch,hkjc_away_team_ch,hkjc_live_event_code,hkjc_had_updated_at,hkjc_hdc_home_close_odds,hkjc_hdc_away_close_odds,hkjc_hdc_condition,hkjc_hdc_updated_at,hkjc_ttg_updated_at,hkjc_ttg_0_odds,hkjc_ttg_1_odds,hkjc_ttg_2_odds,hkjc_ttg_3_odds,hkjc_ttg_4_odds,hkjc_ttg_5_odds,hkjc_ttg_6_odds,hkjc_ttg_7plus_odds
2038523,2026-03-22 01:30:00,西班牙甲级联赛,2026,Levante UD,皇家奥维耶多,Selling,周六024,62,周六,2026-03-21,sporttery,2.07,3.1,3.1,2026-03-20 09:35:41,2.07,3.1,3.1,1,4.6,3.6,1.58,2026-03-20 09:35:41,-1.0,-1,4.6,3.6,1.58,1,莱万特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038524,2026-03-22 02:00:00,葡萄牙超级联赛,2026,SL Benfica,Vitória Guimarães,Selling,周六025,55,周六,2026-03-21,sporttery,1.17,5.6,10.5,2026-03-20 09:35:41,1.17,5.6,10.5,1,1.69,3.7,3.75,2026-03-20 09:35:41,-1.0,-1,1.69,3.7,3.75,1,本菲卡,吉马良斯,,,,,,,,,,,,,FB5990,PFL,葡萄牙超級聯賽,賓菲加,甘馬雷斯,BETRADAR,2026-03-19T19:30:01.589+08:00,2.07,1.72,-1.5/-2.0,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,14.5,5.4,3.9,3.6,4.55,6.9,12.0,16.0
2038525,2026-03-22 03:45:00,意大利甲级联赛,2026,Juventus,Sassuolo,Selling,周六026,40,周六,2026-03-21,sporttery,1.25,4.85,8.1,2026-03-20 09:35:41,1.25,4.85,8.1,1,1.86,3.65,3.15,2026-03-20 09:35:41,-1.0,-1,1.86,3.65,3.15,1,尤文图斯,萨索洛,,,,,,,,,,,,,FB5946,ISA,意大利甲組聯賽,祖雲達斯,薩斯索羅,BETRADAR,2026-03-19T19:30:01.589+08:00,1.79,1.98,-1.0/-1.5,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,13.5,5.3,3.7,3.65,4.6,6.9,13.5,19.0
2038528,2026-03-22 04:00:00,法国甲级联赛,2026,OGC Nice,巴黎圣日尔曼,Selling,周六029,32,周六,2026-03-21,sporttery,6.9,5.1,1.27,2026-03-20 09:35:41,6.9,5.1,1.27,1,3.05,3.9,1.84,2026-03-20 09:35:41,1.0,1,3.05,3.9,1.84,1,尼斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038526,2026-03-22 04:00:00,英格兰超级联赛,2026,Leeds United,Brentford,Selling,周六027,25,周六,2026-03-21,sporttery,2.33,3.15,2.62,2026-03-20 09:35:41,2.33,3.15,2.62,1,5.2,4.05,1.45,2026-03-20 09:35:41,-1.0,-1,5.2,4.05,1.45,1,利兹联,布伦特福德,,,,,,,,,,,,,FB5914,EPL,英格蘭超級聯賽,列斯聯,賓福特,BETRADAR,2026-03-19T19:30:01.589+08:00,1.73,2.06,0.0,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,9.75,4.45,3.35,3.8,5.0,8.5,18.0,28.0
2038527,2026-03-22 04:00:00,西班牙甲级联赛,2026,Sevilla FC,巴伦西亚,Selling,周六028,62,周六,2026-03-21,sporttery,2.1,3.0,3.13,2026-03-20 09:35:41,2.1,3.0,3.13,1,4.8,3.6,1.56,2026-03-20 09:35:41,-1.0,-1,4.8,3.6,1.56,1,塞维利亚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038530,2026-03-22 13:00:00,韩国职业联赛,2026,FC Seoul,Gwangju FC,Selling,周日001,48,周日,2026-03-22,sporttery,1.44,3.56,6.5,2026-03-20 09:35:41,1.44,3.56,6.5,1,2.62,3.1,2.35,2026-03-20 09:35:41,-1.0,-1,2.62,3.1,2.35,1,首尔FC,光州FC,,,,,,,,,,,,,FB5986,KD1,南韓職業聯賽,FC首爾,FC光州,BETRADAR,2026-03-19T19:30:01.589+08:00,1.97,1.8,-1.0,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,8.75,4.1,3.25,3.8,5.5,9.5,21.0,30.0
2038531,2026-03-22 14:00:00,日本职业联赛,2026,Cerezo Osaka,神户胜利船,Selling,周日002,42,周日,2026-03-22,sporttery,2.97,3.35,2.03,2026-03-20 09:35:41,2.97,3.35,2.03,1,1.6,3.7,4.3,2026-03-20 09:35:41,1.0,1,1.6,3.7,4.3,1,大阪樱花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038532,2026-03-22 15:00:00,日本职业联赛,2026,浦和红钻,Machida Zelvia,Selling,周日003,42,周日,2026-03-22,sporttery,2.6,3.1,2.38,2026-03-20 09:35:41,2.6,3.1,2.38,1,1.43,3.85,5.9,2026-03-20 09:35:41,1.0,1,1.43,3.85,5.9,1,,町田泽维亚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038533,2026-03-22 16:00:00,澳大利亚超级联赛,2026,Perth Glory,Melbourne City,Selling,周日004,2,周日,2026-03-22,sporttery,3.36,3.4,1.86,2026-03-20 09:35:41,3.36,3.4,1.86,1,1.74,3.55,3.66,2026-03-20 09:35:41,1.0,1,1.74,3.55,3.66,1,珀斯光荣,墨尔本城,,,,,,,,,,,,,FB5960,AD1,澳洲職業聯賽,珀斯光輝,墨爾本城,BETRADAR,2026-03-19T19:30:01.589+08:00,2.09,1.7,0.0/+0.5,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,11.0,4.7,3.5,3.65,4.95,7.75,16.0,26.0
2038534,2026-03-22 19:15:00,荷兰甲级联赛,2026,NEC Nijmegen,sc Heerenveen,Selling,周日005,17,周日,2026-03-22,sporttery,1.6,4.1,3.85,2026-03-20 09:35:41,1.6,4.1,3.85,1,2.72,3.8,2.01,2026-03-20 09:35:41,-1.0,-1,2.72,3.8,2.01,1,奈梅亨,海伦芬,,,,,,,,,,,,,FB5971,DFL,荷蘭甲組聯賽,奈梅亨,海倫芬,BETRADAR,2026-03-19T19:30:01.589+08:00,1.88,1.88,-0.5/-1.0,2026-03-19T19:30:01.589+08:00,2026-03-19T19:30:01.589+08:00,23.0,7.25,4.35,3.8,4.1,5.8,9.0,10.5
